txNomeParlamentar,genero
Rubens Otoni,H
Rubens Pereira Júnior,H
Rui Falcão,H
Ruy Carneiro,H
Samuel Viana,H
Sanderson,H
Sandro Alex,H
Sargento Fahur,H
Sargento Gonçalves,H
Sargento Portugal,H
Saullo Vianna,H
Saulo Pedroso,H
Sergio Souza,H
Sidney Leite,H
Silas Câmara,H
Silvia Cristina,M
Silvia Waiãpi,M
Silvio Antonio,H
Silvio Costa Filho,H
Silvye Alves,M
Simone Marquetto,M
Socorro Neri,M
Sonize Barbosa,M
Soraya Santos,M
Stefano Aguiar,H
Sâmia Bomfim,M
Sérgio Brito,H
Sóstenes Cavalcante,H
Tabata Amaral,M
Tadeu Oliveira,H
Tadeu Veneri,H
Talíria Petrone,M
Tarcísio Motta,H
Thiago Flores,H
Thiago de Joaldo,H
Tiririca,H
Tião Medeiros,H
Toninho Wandscheer,H
Túlio Gadêlha,H
Ulisses Guimarães,H
Valmir Assunção,H
Vander Loubet,H
Vermelho,H
Vicentinho,H
Vicentinho Júnior,H
Vinicius Carvalho,H
Vinicius Gurgel,H
Vitor Lippi,H
