ideCadastro;Nome_deputado;Partido;UF;cat_cargo_titusup
204574;Junior Lourenço;PL;MA;Titular
204550;Júnior Mano;PSB;CE;Titular
178886;Juscelino Filho;UNIÃO;MA;Titular
220677;Keniston Braga;MDB;PA;Titular
162067;Kiko Celeguim;PT;SP;Titular
204536;Kim Kataguiri;UNIÃO;SP;Titular
98057;Lafayette de Andrada;REPUBLICANOS;MG;Titular
74856;Laura Carneiro;PSD;RJ;Titular
141480;Lázaro Botelho;PP;TO;Titular
178832;Leandre;PSD;PR;Titular
220600;Lebrão;UNIÃO;RO;Titular
220566;Lêda Borges;PSDB;GO;Titular
80815;Leo Prates;PDT;BA;Titular
74156;Leonardo Monteiro;PT;MG;Titular
92102;Leur Lomanto Júnior;UNIÃO;BA;Titular
139285;Lídice da Mata;PSB;BA;Titular
74585;Lincoln Portela;PL;MG;Titular
74858;Lindbergh Farias;PT;RJ;Titular
220662;Lucas Ramos;PSB;PE;Titular
204404;Lucas Redecker;PSDB;RS;Titular
220581;Luciano Amaral;PSD;AL;Titular
74478;Luciano Bivar;UNIÃO;PE;Titular
178931;Luciano Ducci;PSB;PR;Titular
220616;Luciano Vieira;REPUBLICANOS;RJ;Titular
178954;Lucio Mosquini;MDB;RO;Titular
160510;Luis Tibé;AVANTE;MG;Titular
204410;Luisa Canziani;PSD;PR;Titular
141485;Luiz Carlos Busato;UNIÃO;RS;Titular
204485;Luiz Carlos Motta;PL;SP;Titular
74041;Luiz Couto;PT;PB;Titular
141487;Luiz Fernando Faria;PSD;MG;Titular
220658;Luiz Gastão;PSD;CE;Titular
204455;Luiz Lima;NOVO;RJ;Titular
220636;Luiz Marinho;PT;SP;Titular
162332;Luiz Nishimori;PSD;PR;Titular
204526;Luiz Philippe de Orleans e Bragança;PL;SP;Titular
74784;Luiza Erundina;PSOL;SP;Titular
178866;Luizianne Lins;PT;CE;Titular
220669;Lula da Fonte;PP;PE;Titular
166402;Magda Mofatto;PRD;GO;Titular
220648;Marangoni;UNIÃO;SP;Titular
156190;Marcel van Hattem;NOVO;RS;Titular
179000;Marcelo Álvaro Antônio;PL;MG;Titular
220599;Marcelo Crivella;REPUBLICANOS;RJ;Titular
220634;Marcelo Lima;PSB;SP;Titular
133810;Marcelo Moraes;PL;RS;Titular
160161;Marcelo Queiroz;PSDB;RJ;Titular
178983;Marcio Alvino;PL;SP;Titular
179001;Márcio Biolchi;MDB;RS;Titular
220687;Márcio Honaiser;PDT;MA;Titular
81055;Márcio Jerry;PCdoB;MA;Titular
150418;Márcio Marinho;REPUBLICANOS;BA;Titular
204522;Marco Bertaiolli;PSD;SP;Titular
160535;Marcon;PT;RS;Titular
204431;Marcos Aurélio Sampaio;PSD;PI;Titular
204506;Marcos Pereira;REPUBLICANOS;SP;Titular
220547;Marcos Pollon;PL;MS;Titular
178943;Marcos Soares;UNIÃO;RJ;Titular
220604;Marcos Tavares;PDT;RJ;Titular
220668;Maria Arraes;SOLIDARIEDADE;PE;Titular
74398;Maria do Rosário;PT;RS;Titular
204540;Maria Rosas;REPUBLICANOS;SP;Titular
220637;Marina Silva;REDE;SP;Titular
220655;Mario Frias;PL;SP;Titular
74158;Mário Heringer;PDT;MG;Titular
178858;Mário Negromonte Jr.;PP;BA;Titular
204566;Marreca Filho;PRD;MA;Titular
220572;Marussa Boldrin;MDB;GO;Titular
178843;Marx Beltrão;PP;AL;Titular
220661;Matheus Noronha;PL;CE;Titular
220609;Maurício Carvalho;UNIÃO;RO;Titular
220628;Mauricio do Vôlei;PL;MG;Titular
220550;Mauricio Marcon;PODE;RS;Titular
220647;Mauricio Neves;PP;SP;Titular
204486;Mauro Benevides Filho;PDT;CE;Titular
220607;Max Lemos;PDT;RJ;Titular
220591;Meire Serafim;UNIÃO;AC;Titular
74428;Mendonça Filho;UNIÃO;PE;Titular
188097;Merlong Solano;PT;PI;Titular
220585;Mersinho Lucena;PP;PB;Titular
220530;Messias Donato;REPUBLICANOS;ES;Titular
171786;Miguel Ângelo;PT;MG;Titular
178985;Miguel Lombardi;PL;SP;Titular
154178;Milton Vieira;REPUBLICANOS;SP;Titular
178895;Misael Varella;PSD;MG;Titular
178997;Moses Rodrigues;UNIÃO;CE;Titular
220617;Murillo Gouvea;UNIÃO;RJ;Titular
220584;Murilo Galdino;REPUBLICANOS;PB;Titular
204453;Natália Bonavides;PT;RN;Titular
220622;Nely Aquino;PODE;MG;Titular
220703;Neto Carletto;AVANTE;BA;Titular
178896;Newton Cardoso Jr;MDB;MG;Titular
204479;Nicoletti;UNIÃO;RR;Titular
209787;Nikolas Ferreira;PL;MG;Titular
178986;Nilto Tatto;PT;SP;Titular
74159;Odair Cunha;PT;MG;Titular
204498;Olival Marques;MDB;PA;Titular
73692;Osmar Terra;PL;RS;Titular
204441;Otoni de Paula;MDB;RJ;Titular
204573;Otto Alencar Filho;PSD;BA;Titular
220706;Padovani;UNIÃO;PR;Titular
160556;Padre João;PT;MG;Titular
180214;Pastor Diniz;UNIÃO;RR;Titular
160642;Pastor Eurico;PL;PE;Titular
204570;Pastor Gil;PL;MA;Titular
220615;Pastor Henrique Vieira;PSOL;RJ;Titular
204553;Pastor Sargento Isidório;AVANTE;BA;Titular
74160;Patrus Ananias;PT;MG;Titular
171617;Paulão;PT;AL;Titular
220627;Paulinho Freire;UNIÃO;RN;Titular
141516;Paulo Abi;Ackel- PSDB;MG;Titular
220650;Paulo Alexandre Barbosa;PSDB;SP;Titular
178860;Paulo Azi;UNIÃO;BA;Titular
160517;Paulo Folletto;PSB;ES;Titular
160558;Paulo Freire Costa;PL;SP;Titular
204492;Paulo Guedes;PT;MG;Titular
220685;Paulo Litro;PSD;PR;Titular
74574;Paulo Magalhães;PSD;BA;Titular
74400;Paulo Pimenta;PT;RS;Titular
141488;Paulo Teixeira;PT;SP;Titular
220630;Pedro Aihara;PRD;MG;Titular
220667;Pedro Campos;PSB;PE;Titular
122974;Pedro Lucas Fernandes;UNIÃO;MA;Titular
204395;Pedro Lupion;PP;PR;Titular
122158;Pedro Paulo;PSD;RJ;Titular
160604;Pedro Uczai;PT;SC;Titular
204406;Pedro Westphalen;PP;RS;Titular
161440;Pezenti;MDB;SC;Titular
